timestamp,open,high,low,close,volume
2025-07-02,489.99,493.5,488.7,491.09,16319641
2025-07-01,496.47,498.05,490.98,492.05,19945375
2025-06-30,497.04,500.76,495.33,497.41,28368991
2025-06-27,497.55,499.3,493.03,495.94,34539236
2025-06-26,492.98,498.04,492.81,497.45,21578853
2025-06-25,492.04,494.5556,489.39,492.27,17495099
2025-06-24,488.95,491.849,486.795,490.11,22305642
2025-06-23,478.21,487.75,472.51,486.0,24863952
2025-06-20,482.23,483.46,476.87,477.4,37576206
2025-06-18,478.0,481.0,474.46,480.24,17526452
2025-06-17,475.395,478.7399,474.08,478.04,15414128
2025-06-16,475.21,480.6943,475.0,479.14,15626104
2025-06-13,476.41,479.18,472.76,474.96,16814456
2025-06-12,475.02,480.415,473.52,478.87,18950582
2025-06-11,470.02,475.47,469.655,472.62,16399176
2025-06-10,471.185,472.8,466.96,470.92,15375944
2025-06-09,469.7,473.43,468.62,472.75,16469932
2025-06-06,470.085,473.335,468.78,470.38,15285624
2025-06-05,464.955,469.65,464.03,467.68,20154460
2025-06-04,464.0,465.69,463.0201,463.87,14162688
2025-06-03,461.47,464.14,460.8622,462.97,15743760
2025-06-02,457.14,462.11,456.89,461.97,16626495
2025-05-30,459.715,461.68,455.54,460.36,34770475
2025-05-29,461.55,461.72,455.3105,458.68,13982211
2025-05-28,461.22,462.52,456.93,457.36,17086261
2025-05-27,456.48,460.95,456.115,460.69,20974293
2025-05-23,449.98,453.69,448.91,450.18,16883509
2025-05-22,454.95,460.25,453.9,454.86,18025612
2025-05-21,454.57,457.78,451.814,452.57,19216906
2025-05-20,455.59,458.34,454.3201,458.17,15441808
2025-05-19,450.875,459.585,450.8,458.87,21336509
2025-05-16,452.05,454.36,448.73,454.27,23849781
2025-05-15,450.765,456.19,450.4301,453.13,21992323
2025-05-14,448.14,453.9,448.14,452.94,19902796
2025-05-13,447.78,450.6733,445.36,449.14,23618819
2025-05-12,445.94,449.37,439.78,449.26,22821935
2025-05-09,440.0,440.74,435.88,438.73,15324233
2025-05-08,437.93,443.67,435.66,438.17,23491330
2025-05-07,433.84,438.12,431.1103,433.35,23307241
2025-05-06,432.2,437.73,431.17,433.31,15104204
2025-05-05,432.87,439.5,432.11,436.17,20136053
2025-05-02,431.74,439.44,429.985,435.28,30757434
2025-05-01,431.11,436.99,424.9,425.4,58938100
2025-04-30,390.3,396.66,384.44,395.26,36461075
2025-04-29,391.3,395.1,390.38,394.04,14973976
2025-04-28,391.955,392.74,386.638,391.16,16579430
2025-04-25,387.0,392.16,384.6,391.85,18973165
2025-04-24,375.695,388.45,375.19,387.3,22232289
2025-04-23,376.06,380.39,373.02,374.39,20545526
2025-04-22,363.375,367.77,359.8602,366.82,19484993
2025-04-21,362.815,364.48,355.67,359.12,20807279
2025-04-17,373.745,374.3215,366.89,367.78,21120192
2025-04-16,380.67,381.61,368.0,371.61,21967826
2025-04-15,388.505,391.89,384.1599,385.73,17199890
2025-04-14,393.22,394.65,384.21,387.81,19251172
2025-04-11,380.635,390.05,378.89,388.45,23839220
2025-04-10,382.06,383.9,367.8,381.35,38024368
2025-04-09,353.535,393.225,353.1,390.49,50199696
2025-04-08,368.255,373.65,350.25,354.56,35868918
2025-04-07,350.88,370.9999,344.79,357.86,50424998
2025-04-04,364.125,374.59,359.48,359.84,49209854
2025-04-03,374.785,377.48,369.35,373.11,30197997
2025-04-02,377.965,385.08,376.62,382.14,16092555
2025-04-01,374.65,382.85,373.23,382.19,19689503
2025-03-31,372.535,377.07,367.24,375.39,35184676
2025-03-28,388.08,389.13,376.93,378.8,21632016
2025-03-27,390.13,392.24,387.395,390.58,13766761
2025-03-26,395.0,395.31,388.57,389.97,16132906
2025-03-25,393.915,396.36,392.64,395.16,15774968
2025-03-24,395.4,395.4,389.81,393.08,21004548
2025-03-21,383.215,391.74,382.8,391.26,39675928
2025-03-20,385.735,391.785,383.28,386.84,18470542
2025-03-19,385.525,389.68,384.0,387.82,19185532
2025-03-18,387.07,387.37,381.1,383.52,19486850
2025-03-17,386.7,392.705,385.57,388.7,22474272
2025-03-14,379.775,390.23,379.51,388.56,19952846
2025-03-13,383.155,385.32,377.45,378.77,20473017
2025-03-12,382.95,385.2165,378.9507,383.27,24253567
2025-03-11,379.0,386.0,376.91,380.45,30380177
2025-03-10,385.84,386.4,377.22,380.16,32569768
2025-03-07,392.32,394.8,385.54,393.31,22034087
2025-03-06,394.28,402.15,392.6777,396.89,23304625
2025-03-05,389.34,401.67,388.81,401.02,23433132
